Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender
0.4,0.75,0.3598130841121495,0.125,0.984375,0.12359386413440468,1.0,0.5,0.5,0.0
0.4,0.5,0.7663551401869159,0.25,0.0625,0.629072315558802,0.5,0.0,0.0,0.0
0.8000000000000002,0.5,0.630841121495327,0.25,0.09375,0.518918918918919,0.0,0.0,0.0,0.0
0.8000000000000002,0.75,0.9158878504672897,0.25,0.109375,0.11365960555149743,1.0,0.0,0.5,1.0
0.6,0.5,0.25233644859813087,0.125,0.140625,0.5548575602629656,0.0,0.0,0.0,1.0
0.6,0.0,0.7149532710280374,0.125,0.0625,0.4953981008035062,0.25,0.0,0.5,0.0
0.4,0.75,0.5607476635514018,0.5,0.0625,0.03959094229364499,0.0,0.5,0.0,1.0
0.4,0.25,0.5700934579439253,0.125,0.015625,0.5767713659605551,1.0,0.0,0.0,0.0
0.6,1.0,0.5841121495327103,0.375,0.03125,0.031994156318480654,0.25,0.0,0.0,0.0
0.4,0.25,0.5934579439252335,0.375,0.03125,0.05756026296566838,1.0,1.0,0.5,1.0
0.20000000000000007,1.0,0.46728971962616817,0.125,0.046875,0.5212563915266618,0.75,0.0,1.0,0.0
0.20000000000000007,0.5,0.8271028037383178,0.0,0.09375,0.6559532505478451,0.0,0.0,0.5,0.0
0.6,0.75,0.7102803738317757,0.375,0.03125,0.06866325785244703,0.5,1.0,0.0,0.0
0.20000000000000007,0.5,0.6822429906542057,0.125,0.109375,0.7178962746530314,0.75,0.0,0.5,0.0
0.0,1.0,0.2990654205607477,0.125,0.28125,0.058144631117604095,1.0,1.0,0.0,0.0
1.0,0.5,0.8130841121495326,0.25,0.140625,0.03067932797662526,0.75,0.0,0.5,0.0
0.6,1.0,0.42056074766355145,0.25,0.125,0.6707085463842221,0.25,0.0,0.5,0.0
0.20000000000000007,0.75,0.44859813084112143,0.25,0.03125,0.44251278305332364,0.75,1.0,0.5,1.0
0.20000000000000007,0.5,0.7943925233644858,0.625,0.015625,0.6822498173849525,1.0,0.0,0.0,1.0
0.0,0.75,0.663551401869159,0.125,0.046875,0.6984660336011688,0.25,0.0,0.5,1.0
0.6,0.25,0.7850467289719626,0.375,0.40625,0.30927684441197956,0.75,1.0,0.0,0.0
0.20000000000000007,1.0,0.44859813084112143,0.125,0.09375,0.44631117604090575,0.0,0.5,0.0,0.0
1.0,0.0,0.836448598130841,0.25,0.09375,0.1100073046018992,0.0,1.0,0.5,1.0
0.20000000000000007,0.75,0.3878504672897196,0.125,0.875,0.08487947406866325,0.0,0.0,1.0,1.0
0.8000000000000002,1.0,0.9579439252336449,0.25,0.015625,0.13761869978086191,0.75,0.0,0.5,0.0
0.20000000000000007,0.75,0.28971962616822433,0.0,0.09375,0.5468224981738495,1.0,0.0,0.5,1.0
0.8000000000000002,0.25,0.8084112149532711,0.25,0.03125,0.09700511322132943,0.0,0.0,0.5,0.0
0.6,0.75,0.6542056074766355,0.125,0.0,0.6880934989043097,0.0,0.5,0.5,0.0
0.6,0.5,0.6869158878504672,0.375,0.015625,0.11322132943754562,1.0,0.0,0.0,1.0
0.4,1.0,0.7570093457943924,0.0,0.015625,0.4823959094229364,1.0,1.0,0.5,0.0
0.6,0.25,0.30841121495327106,0.25,0.09375,0.6539079620160702,0.0,0.5,0.5,1.0
0.0,0.75,0.8271028037383178,0.25,0.09375,0.5466764061358655,0.0,1.0,0.0,0.0
